"yr","plt","grp","bio"
1999,118,"ANPP",426.037
1999,119,"ANPP",911.932
1999,120,"ANPP",633.763
1999,121,"ANPP",532.184
1999,122,"ANPP",680.666
1999,123,"ANPP",308.501
1999,124,"ANPP",549.382
1999,125,"ANPP",333.721
1999,126,"ANPP",1117.869
1999,127,"ANPP",526.143
1999,128,"ANPP",716.984
1999,129,"ANPP",462.599
1999,131,"ANPP",433.915
1999,134,"ANPP",455.231
1999,136,"ANPP",372.123
1999,137,"ANPP",370.866
1999,139,"ANPP",293.451
1999,142,"ANPP",239.604
1999,144,"ANPP",413.397
2000,1,"ANPP",224.111
2000,2,"ANPP",449.181
2000,3,"ANPP",514.153
2000,4,"ANPP",885.646
2000,5,"ANPP",376.234
2000,6,"ANPP",263.891
2000,7,"ANPP",365.047
2000,8,"ANPP",540.922
2000,9,"ANPP",270.088
2000,10,"ANPP",164.375
2000,11,"ANPP",378.145
2000,12,"ANPP",490.057
2000,13,"ANPP",484.701
2000,14,"ANPP",187.023
2000,15,"ANPP",531.875
2000,16,"ANPP",722.783
2000,17,"ANPP",433.755
2000,18,"ANPP",303.051
2000,19,"ANPP",232.637
2000,20,"ANPP",338.939
2000,21,"ANPP",366.552
2000,22,"ANPP",328.849
2000,23,"ANPP",452.919
2000,24,"ANPP",486.205
2000,25,"ANPP",312.799
2000,26,"ANPP",188.752
2000,27,"ANPP",310.981
2000,28,"ANPP",283.638
2000,29,"ANPP",150.865
2000,30,"ANPP",880.873
2000,31,"ANPP",665.152
2000,32,"ANPP",638.436
2000,33,"ANPP",259.983
2000,34,"ANPP",426.253
2000,35,"ANPP",488.487
2000,36,"ANPP",254.815
2000,37,"ANPP",468.458
2000,38,"ANPP",315.403
2000,39,"ANPP",485.881
2000,40,"ANPP",450.353
2000,41,"ANPP",362.322
2000,42,"ANPP",281.466
2000,43,"ANPP",507.873
2000,44,"ANPP",621.295
2000,45,"ANPP",731.109
2000,46,"ANPP",466.731
2000,47,"ANPP",207.773
2000,48,"ANPP",385.969
2000,49,"ANPP",217.469
2000,50,"ANPP",248.75
2000,51,"ANPP",441.206
2000,52,"ANPP",309.095
2000,53,"ANPP",144.876
2000,54,"ANPP",266.183
2000,55,"ANPP",296.253
2000,56,"ANPP",340.739
2000,57,"ANPP",299.308
2000,58,"ANPP",254.986
2000,59,"ANPP",501.87
2000,60,"ANPP",517.942
2000,61,"ANPP",474.063
2000,62,"ANPP",330.148
2000,63,"ANPP",370.847
2000,64,"ANPP",389.544
2000,65,"ANPP",387.685
2000,66,"ANPP",332.917
2000,67,"ANPP",679.516
2000,68,"ANPP",369.661
2000,69,"ANPP",186.039
2000,70,"ANPP",406.339
2000,71,"ANPP",508.111
2000,72,"ANPP",753.834
2000,73,"ANPP",390.54
2000,74,"ANPP",879.91
2000,75,"ANPP",360.279
2000,76,"ANPP",649.361
2000,77,"ANPP",666.561
2000,78,"ANPP",477.59
2000,79,"ANPP",696.122
2000,80,"ANPP",757.652
2000,81,"ANPP",444.605
2000,82,"ANPP",438.722
2000,83,"ANPP",771.052
2000,84,"ANPP",837.661
2000,85,"ANPP",512.348
2000,86,"ANPP",590.935
2000,87,"ANPP",600.734
2000,88,"ANPP",534.988
2000,89,"ANPP",482.519
2000,90,"ANPP",540.489
2000,91,"ANPP",583.141
2000,92,"ANPP",336.531
2000,93,"ANPP",788.646
2000,94,"ANPP",432.16
2000,95,"ANPP",415.045
2000,96,"ANPP",752.429
2000,97,"ANPP",415.233
2000,98,"ANPP",380.516
2000,99,"ANPP",587.065
2000,100,"ANPP",415.956
2000,101,"ANPP",506.982
2000,102,"ANPP",453.892
2000,103,"ANPP",332.829
2000,104,"ANPP",581.034
2000,105,"ANPP",405.039
2000,106,"ANPP",439.014
